@RELATION AirBnB

@ATTRIBUTE room_type STRING
@ATTRIBUTE neighborhood STRING
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction REAL
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms REAL
@ATTRIBUTE price REAL
@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL

@DATA
Entire home/apt,Eixample,19,4.0,4,2.0,84.0,41.407,2.171
Entire home/apt,Sarrià-Sant Gervasi,120,4.0,12,3.0,91.0,41.404,2.143
Entire home/apt,Gràcia,14,5.0,3,1.0,91.0,41.400,2.160
Entire home/apt,Sarrià-Sant Gervasi,11,5.0,4,1.0,95.0,41.394,2.149
Entire home/apt,Eixample,28,4.0,4,2.0,84.0,41.405,2.173
Entire home/apt,Sant Martí,66,3.5,3,1.0,96.0,41.397,2.190
Entire home/apt,Sant Martí,42,4.0,4,2.0,84.0,41.395,2.191
Entire home/apt,Eixample,15,4.0,4,2.0,97.0,41.406,2.174
Entire home/apt,Sants-Montjuïc,15,4.0,4,2.0,95.0,41.374,2.156
Entire home/apt,Ciutat Vella,39,3.5,10,3.0,95.0,41.378,2.165
Entire home/apt,Eixample,47,4.5,6,2.0,88.0,41.377,2.159
Entire home/apt,Sarrià-Sant Gervasi,147,4.0,10,3.0,98.0,41.404,2.142
Entire home/apt,Eixample,66,5.0,3,2.0,72.0,41.377,2.154
Entire home/apt,Ciutat Vella,38,3.5,6,1.0,80.0,41.378,2.167
Entire home/apt,Ciutat Vella,147,4.0,3,1.0,55.0,41.381,2.169
Entire home/apt,Ciutat Vella,131,4.0,4,1.0,25.0,41.379,2.175
Entire home/apt,Eixample,17,5.0,8,4.0,904.0,41.392,2.165
Entire home/apt,Eixample,7,3.5,10,4.0,553.0,41.389,2.171
Entire home/apt,Sant Martí,12,4.5,10,4.0,634.0,41.406,2.214
Entire home/apt,Eixample,18,5.0,8,5.0,543.0,41.392,2.160
Entire home/apt,Sant Martí,14,5.0,10,4.0,634.0,41.405,2.216
Entire home/apt,Eixample,40,4.5,16,6.0,550.0,41.387,2.163
Entire home/apt,Ciutat Vella,4,1.0,8,4.0,603.0,41.378,2.176
