@RELATION AirBnB

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Sant Martí','Ciutat Vella','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction {1,2,3,4,5}
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms INTEGER
@ATTRIBUTE price INTEGER
@ATTRIBUTE latitude INTEGER
@ATTRIBUTE longitude INTEGER

@DATA
'Entire home/apt','Ciutat Vella',5,5,7,3,350,41,2
'Entire home/apt','Sant Martí',22,5,6,3,343,41,2
'Entire home/apt','Sant Martí',5,4,8,3,331,41,2
'Entire home/apt','Ciutat Vella',16,5,4,2,337,41,2
'Entire home/apt','Sant Martí',4,4,6,2,380,41,2
'Entire home/apt','Sant Martí',4,4,8,3,416,41,2
'Entire home/apt','Sant Martí',46,4,8,4,384,41,2
'Entire home/apt','Eixample',50,4,13,5,359,41,2
'Entire home/apt','Eixample',3,4,6,2,361,41,2
'Entire home/apt','Ciutat Vella',31,4,16,5,493,41,2
'Entire home/apt','Horta-Guinardó',9,4,7,4,420,41,2
'Entire home/apt','Eixample',3,5,6,3,424,41,2
'Entire home/apt','Sant Martí',7,4,8,3,413,41,2
'Entire home/apt','Eixample',14,4,7,3,451,41,2
'Entire home/apt','Eixample',8,4,9,3,457,41,2
'Entire home/apt','Sant Martí',55,4,6,3,397,41,2
'Entire home/apt','Ciutat Vella',26,5,4,2,372,41,2
'Entire home/apt','Eixample',3,5,4,2,508,41,2
'Entire home/apt','Ciutat Vella',22,5,6,3,481,41,2
'Entire home/apt','Ciutat Vella',3,3,9,3,409,41,2
'Entire home/apt','Eixample',115,5,10,4,480,41,2
'Entire home/apt','Eixample',29,4,6,3,451,41,2
'Entire home/apt','Eixample',45,5,6,2,324,41,2
'Entire home/apt','Ciutat Vella',17,4,8,3,411,41,2
'Entire home/apt','Eixample',150,4,7,3,337,41,2
'Entire home/apt','Eixample',24,4,8,5,361,41,2
'Entire home/apt','Eixample',28,4,10,4,381,41,2
'Entire home/apt','Sant Martí',52,4,10,4,418,41,2
'Entire home/apt','Ciutat Vella',57,4,6,4,493,41,2
'Entire home/apt','Sants-Montjuïc',4,4,7,3,331,41,2
'Entire home/apt','Eixample',5,5,6,3,445,41,2
'Entire home/apt','Horta-Guinardó',18,4,6,3,481,41,2
'Entire home/apt','Ciutat Vella',3,5,5,3,312,41,2
'Entire home/apt','Eixample',36,4,10,4,499,41,2
'Entire home/apt','Sant Martí',5,4,6,2,327,41,2
'Entire home/apt','Sant Martí',3,4,10,4,354,41,2
'Entire home/apt','Ciutat Vella',68,4,10,4,483,41,2
'Entire home/apt','Eixample',23,4,8,3,384,41,2
'Entire home/apt','Ciutat Vella',3,1,8,3,420,41,2
'Entire home/apt','Eixample',36,4,15,5,397,41,2
'Entire home/apt','Eixample',37,4,10,4,361,41,2
'Entire home/apt','Eixample',45,4,11,6,403,41,2
'Entire home/apt','Ciutat Vella',16,4,8,3,384,41,2
'Entire home/apt','Eixample',4,5,15,9,481,41,2
'Entire home/apt','Eixample',14,4,10,4,337,41,2
'Entire home/apt','Eixample',31,4,8,3,359,41,2
'Entire home/apt','Eixample',87,5,7,3,361,41,2
'Entire home/apt','Eixample',17,5,9,5,499,41,2
'Entire home/apt','Horta-Guinardó',4,4,10,5,361,41,2
'Entire home/apt','Ciutat Vella',20,4,6,2,475,41,2
'Entire home/apt','Sant Martí',6,4,7,3,433,41,2
'Entire home/apt','Eixample',29,4,8,3,426,41,2
'Entire home/apt','Ciutat Vella',6,4,10,4,420,41,2
'Entire home/apt','Gràcia',8,5,6,3,343,41,2
'Entire home/apt','Eixample',4,5,6,2,361,41,2
'Entire home/apt','Eixample',28,4,13,5,481,41,2
'Entire home/apt','Ciutat Vella',8,5,6,3,481,41,2
'Entire home/apt','Eixample',19,4,10,4,361,41,2
