room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Sant Martí,6,5.0,1,1.0,39.0,41.410478999999995,2.187157
Private room,Sant Martí,31,4.5,2,1.0,38.0,41.413283,2.1775849999999997
Private room,Eixample,6,4.5,2,1.0,35.0,41.40058,2.180909
Private room,Eixample,35,4.5,1,1.0,36.0,41.404514,2.175502
Private room,Eixample,31,5.0,2,1.0,36.0,41.397313,2.174677
Private room,Sant Martí,52,4.5,2,1.0,34.0,41.411815000000004,2.179766
Private room,Sant Martí,70,4.0,2,1.0,23.0,41.411155,2.184386
Private room,Eixample,4,4.5,1,1.0,22.0,41.407181,2.173931
Private room,Sant Martí,14,4.5,2,1.0,37.0,41.411361,2.183808
Private room,Gràcia,26,4.5,2,1.0,23.0,41.402041,2.1688419999999997
Private room,Eixample,154,5.0,2,1.0,24.0,41.405088,2.174522
Private room,Eixample,21,5.0,2,4.0,36.0,41.402213,2.177318
Private room,Eixample,111,5.0,2,1.0,22.0,41.401205,2.1813919999999998
Private room,Sant Martí,66,5.0,2,1.0,36.0,41.397556,2.198481
Private room,Sant Martí,49,5.0,2,1.0,34.0,41.398744,2.19984
Private room,Sant Martí,9,5.0,2,1.0,41.0,41.417795,2.19995
Private room,Sant Martí,12,4.5,1,1.0,24.0,41.413159,2.207594
Private room,Sant Martí,12,4.5,1,1.0,23.0,41.406737,2.194253
Private room,Ciutat Vella,17,5.0,2,1.0,38.0,41.382026,2.179688
Private room,Sants-Montjuïc,5,5.0,1,1.0,37.0,41.374818,2.172472
Private room,Ciutat Vella,56,4.5,1,1.0,18.0,41.385598,2.180685
Private room,Ciutat Vella,57,4.5,2,2.0,23.0,41.378665999999996,2.171092
Private room,Ciutat Vella,29,4.5,3,1.0,36.0,41.380509,2.1726650000000003
Private room,Ciutat Vella,44,4.0,2,1.0,36.0,41.378919,2.17942
Private room,Ciutat Vella,134,4.5,2,1.0,18.0,41.380364,2.178722
Private room,Ciutat Vella,252,4.5,1,1.0,30.0,41.387170000000005,2.172428
Private room,Ciutat Vella,26,4.0,2,1.0,36.0,41.379773,2.1883470000000003
Private room,Ciutat Vella,37,4.5,2,1.0,27.0,41.377595,2.171309
Private room,Ciutat Vella,172,4.5,2,1.0,37.0,41.375808,2.172422
Private room,Ciutat Vella,189,4.5,2,1.0,34.0,41.387213,2.176413
Private room,Ciutat Vella,18,5.0,2,1.0,31.0,41.385843,2.171482
Private room,Ciutat Vella,53,4.5,2,1.0,36.0,41.387009,2.175611
Private room,Ciutat Vella,27,4.0,2,1.0,27.0,41.382209,2.181962
Private room,Ciutat Vella,46,4.5,1,1.0,35.0,41.387273,2.178413
Private room,Sant Martí,27,4.5,2,1.0,37.0,41.394678000000006,2.189895
Private room,Ciutat Vella,21,4.5,2,1.0,30.0,41.379521999999994,2.175737
Private room,Ciutat Vella,83,4.5,4,1.0,34.0,41.381769,2.178999
Private room,Ciutat Vella,67,4.0,2,1.0,35.0,41.3856,2.171004
Private room,Ciutat Vella,194,4.5,1,1.0,30.0,41.385807,2.1766259999999997
Private room,Sant Martí,6,5.0,2,1.0,41.0,41.39217,2.18413
Private room,Ciutat Vella,69,4.5,2,1.0,36.0,41.387259,2.178359
Private room,Ciutat Vella,25,5.0,1,1.0,25.0,41.376011,2.173639
Private room,Ciutat Vella,8,5.0,2,1.0,36.0,41.387186,2.181156
Private room,Ciutat Vella,31,4.5,1,1.0,32.0,41.389864,2.181085
Private room,Sant Martí,61,5.0,1,1.0,35.0,41.391002,2.188573
Private room,Ciutat Vella,16,4.5,1,1.0,31.0,41.377479,2.189273
Private room,Ciutat Vella,49,4.5,2,1.0,30.0,41.386424,2.172648
Private room,Ciutat Vella,88,4.5,2,1.0,30.0,41.380573999999996,2.176103
Private room,Ciutat Vella,33,5.0,1,1.0,30.0,41.379163,2.189568
Private room,Ciutat Vella,173,4.5,1,1.0,30.0,41.379312,2.176084
Private room,Ciutat Vella,170,4.5,2,1.0,37.0,41.386272999999996,2.177732
Private room,Ciutat Vella,8,5.0,1,1.0,31.0,41.37527,2.170978
Private room,Ciutat Vella,4,5.0,1,1.0,34.0,41.382976,2.175302
Private room,Ciutat Vella,169,4.5,1,1.0,27.0,41.385542,2.173984
Private room,Ciutat Vella,21,4.5,2,1.0,24.0,41.389163,2.177605
Private room,Sant Martí,36,4.5,1,1.0,30.0,41.390703,2.189875
Private room,Sant Martí,19,4.5,2,1.0,31.0,41.389676,2.190848
Private room,Ciutat Vella,260,5.0,2,1.0,30.0,41.385005,2.180613
Private room,Eixample,7,4.5,1,1.0,30.0,41.399203,2.1663580000000002
Private room,Gràcia,27,4.5,2,1.0,31.0,41.398978,2.161378
Private room,Eixample,4,2.0,2,1.0,24.0,41.390097,2.163348
Private room,Eixample,3,5.0,1,1.0,30.0,41.400201,2.166804
Private room,Eixample,27,3.5,2,1.0,23.0,41.398796999999995,2.175487
Private room,Eixample,14,4.5,2,1.0,36.0,41.388486,2.159427
Private room,Gràcia,68,4.5,2,1.0,36.0,41.399271,2.1604509999999997
Private room,Eixample,4,5.0,2,1.0,36.0,41.388909000000005,2.160359
Private room,Eixample,22,4.5,2,1.0,34.0,41.388317,2.160335
Private room,Eixample,99,4.5,3,1.0,36.0,41.393161,2.165587
Private room,Ciutat Vella,15,4.5,2,1.0,30.0,41.389199,2.176431
Private room,Gràcia,3,5.0,1,1.0,36.0,41.398804999999996,2.159664
Private room,Eixample,15,4.5,1,1.0,30.0,41.396685999999995,2.168705
Private room,Eixample,18,4.5,4,3.0,37.0,41.389234,2.160098
Private room,Eixample,103,5.0,1,1.0,41.0,41.396406,2.166843
Private room,Eixample,125,4.5,2,1.0,29.0,41.387769,2.162518
Private room,Eixample,187,4.5,2,1.0,24.0,41.387836,2.161194
Private room,Eixample,5,4.5,1,1.0,37.0,41.401243,2.168114
Private room,Eixample,105,4.5,1,1.0,38.0,41.390844,2.15945
Private room,Gràcia,5,4.0,2,1.0,36.0,41.399313,2.1606669999999997
Private room,Ciutat Vella,13,4.5,1,1.0,35.0,41.387991,2.176038
Private room,Gràcia,34,4.5,2,1.0,36.0,41.399429999999995,2.159704
Private room,Gràcia,4,4.5,2,1.0,37.0,41.400664,2.15998
Private room,Gràcia,15,5.0,2,1.0,36.0,41.399273,2.1619450000000002
Private room,Eixample,15,4.0,4,1.0,30.0,41.39056,2.163608
Private room,Eixample,143,4.5,2,1.0,38.0,41.387652,2.165405
Private room,Eixample,3,4.0,2,1.0,41.0,41.395846999999996,2.160559
Private room,Ciutat Vella,116,4.5,2,1.0,24.0,41.388883,2.176364
Private room,Gràcia,32,4.0,3,1.0,36.0,41.402737,2.163007
